category,component,type,identifier,version,source_url_or_id,produced_by,notes
algorithm,Target-card build + evidence grade,pipeline_step,build_target_cards,ENGINE_VERSION=1.3.0 | CARD_SCHEMA_VERSION=card_schema/v2,technical_methods.md §3.2,core/cards.py,grade 1-4; conservative cap
algorithm,Condition-specificity score,heuristic,condition_specificity,ENGINE_VERSION=1.3.0,technical_methods.md §3.7,core/cards.py,HEURISTIC not interaction test
algorithm,Robustness (cross-donor/guide),pipeline_step,robustness,upstream fields,technical_methods.md §3.4,core/cards.py,replicate_pass_flag
algorithm,Readiness engine (12 domains -> R0-R5),scoring,readiness_engine,ENGINE_VERSION=1.3.0,technical_methods.md §3.5,core/readiness.py,+ red-flag override
algorithm,Scoring helpers,scoring,scoring,ENGINE_VERSION=1.3.0,-,core/scoring.py,domain scoring
algorithm,Calibration harness,validation,calibration,ENGINE_VERSION=1.3.0,de_and_baseline_spec.md §5,core/calibration.py,pos/neg control panels
algorithm,Disease translation,pipeline_step,disease_translator,-,technical_methods.md §3.9,evidence/disease.py,Open Targets export ranking
algorithm,Mechanism graph,pipeline_step,mechanism_graph,-,-,evidence/mechanism_graph.py,Reactome+STRING; descriptive only
algorithm,Population LoF hypothesis,pipeline_step,population_hypothesis,-,-,evidence/population.py,research-use
algorithm,Concept modules M01-M20,scoring,concept_modules,-,concept_dictionary.md,api/deps.py::_module_scores,seed-gene overlap; never feeds decisions
algorithm,Gene resolver + fuzzy search,pipeline_step,gene_resolver,-,-,resolve/resolver.py + resolve/search.py,Ensembl primary key + difflib
algorithm,External evidence fetcher,pipeline_step,external_evidence,external_evidence_cache/v1,cache_and_versioning_policy.md,evidence/external_cache.py,cache-first; 30-day TTL
algorithm,Pathway/network cache,pipeline_step,pathway_cache,pathway_network_cache/v1,-,evidence/pathway_cache.py,Reactome+STRING offline
algorithm,Safety/tractability overlay,pipeline_step,safety_overlay,-,-,evidence/safety_overlay.py,gnomAD/GTEx/membrane
algorithm,SCEPTRE (external hook),external_tool,sceptre,-,PMID 34930414,honest R shell-out,not reimplemented (descope)
algorithm,Mixscape-analog classifier,algorithm,mixscape_analog,-,PMID 33649593,src/9_cell_integration,scikit-learn PCA+GMM; deliberate substitute
reference,Zhu & Dann et al. 2025 (primary),paper,ref01,-,DOI 10.64898/2025.12.23.696273,-,primary dataset
reference,Dixit et al. 2016 Perturb-seq,paper,ref02,-,PMID 27984732 | DOI 10.1016/j.cell.2016.11.038,-,method origin
reference,Datlinger et al. 2017 CROP-seq,paper,ref03,-,PMID 28099430 | DOI 10.1038/nmeth.4177,-,method
reference,Replogle et al. 2022 genome-scale,paper,ref04,-,PMID 35688146 | DOI 10.1016/j.cell.2022.05.013,-,method
reference,Shifrut et al. 2018,paper,ref05,-,PMID 30449619 | DOI 10.1016/j.cell.2018.10.024,-,primary T-cell validation
reference,Schmidt et al. 2022,paper,ref06,-,PMID 35113687 | DOI 10.1126/science.abj4008,-,primary T-cell validation
reference,Freimer et al. 2022,paper,ref07,-,PMID 36356142 | DOI 10.1126/science.abn5647,-,effector screen
reference,Weinstock et al. 2024,paper,ref08,-,PMID 39395408 | DOI 10.1016/j.xgen.2024.100671,-,CD4 GRN
reference,Love et al. 2014 DESeq2,paper,ref09,-,PMID 25516281 | DOI 10.1186/s13059-014-0550-8,-,DE method
reference,Benjamini-Hochberg 1995,paper,ref10,-,DOI 10.1111/j.2517-6161.1995.tb02031.x,-,FDR control
reference,Barry et al. 2021 SCEPTRE,paper,ref11,-,PMID 34930414 | DOI 10.1186/s13059-021-02545-2,-,scCRISPR calibration
reference,Barry et al. 2024 SCEPTRE low-MOI,paper,ref12,-,PMID 38760839 | DOI 10.1186/s13059-024-03254-2,-,low-MOI testing
reference,Papalexi et al. 2021 Mixscape,paper,ref13,-,PMID 33649593 | DOI 10.1038/s41588-021-00778-2,-,perturbation QC
reference,Replogle et al. 2020 guide capture,paper,ref14,-,PMID 32231336 | DOI 10.1038/s41587-020-0470-y,-,guide assignment
reference,Hart et al. 2015 essential genes,paper,ref15,-,PMID 26627737 | DOI 10.1016/j.cell.2015.11.015,-,essential-gene overlay
reference,Ochoa et al. 2024 Open Targets,paper,ref16,-,PMID 39657122 | DOI 10.1093/nar/gkae1128,-,target-disease evidence
reference,Karczewski et al. 2020 gnomAD,paper,ref17,-,PMID 32461654 | DOI 10.1038/s41586-020-2308-7,-,constraint
reference,GTEx Consortium 2020,paper,ref18,-,PMID 32913098 | DOI 10.1126/science.aaz1776,-,tissue expression
reference,Subramanian et al. 2017 LINCS,paper,ref19,-,PMID 29195078 | DOI 10.1016/j.cell.2017.10.049,-,drug signatures
reference,Gillespie et al. 2022 Reactome,paper,ref20,-,PMID 34788843 | DOI 10.1093/nar/gkab1028,-,pathways
reference,Szklarczyk et al. 2023 STRING,paper,ref21,-,PMID 36370105 | DOI 10.1093/nar/gkac1000,-,PPI network
reference,Jumper et al. 2021 AlphaFold,paper,ref22,-,PMID 34265844 | DOI 10.1038/s41586-021-03819-2,-,structure
reference,CZ CELLxGENE 2024,paper,ref23,-,PMID 39607691 | DOI 10.1093/nar/gkae1142,-,atlas
reference,Zdrazil et al. 2024 ChEMBL,paper,ref24,-,PMID 37933841 | DOI 10.1093/nar/gkad1004,-,bioactivity
reference,ClinicalTrials.gov (NLM),database,ref25,-,https://clinicaltrials.gov,-,trials registry
reference,Lambert et al. 2018 Human TFs,paper,ref26,-,PMID 30290144 | DOI 10.1016/j.cell.2018.01.029,-,TF list
reference,Ytterberg et al. 2022 ORAL Surveillance,paper,ref27,-,PMID 35081280 | DOI 10.1056/NEJMoa2109927,-,JAK safety
reference,Herold et al. 2019 Teplizumab,paper,ref28,-,PMID 31180194 | DOI 10.1056/NEJMoa1902226,-,anti-CD3 safety
