id,title,family,filename,version_id,what
H6,Parallel coordinates 平行座標,階層互動族,H6_parallel_coords.png,ed4d5614-96a3-4b5c-86ed-05560a055609,"平行座標。三個無缺失非冗餘數值特徵(n_cells_target, |ontarget_effect_size|, n_total_de_genes)百分位化；細線抽樣、粗線=三條件中位軌跡。三條件分布幾乎重疊。"
H7,Parallel categories 類別平行,階層互動族,H7_parallel_categories.png,9f9bc438-bfca-4ba0-b3a6-89fbb64413e2,"類別平行(alluvial)。四維:culture_condition→ontarget_effect_category→n_total_genes_category→passes_gate，帶寬∝列數並依條件著色。通過門檻的2,131列全為on-target敲低且>10 DE基因。"
M1,相關性熱圖,矩陣族,M1_corr_heatmap.png,83641d05-e1bd-459a-b083-44b64f349424,"Pearson correlation heatmap of 6 numeric features (cells, genes up/down, total DE, on-target effect, downstream) over 31,146 on-target rows; diverging RdBu centred at 0, all 36 values printed, redundant n_DE vs n_downstream pair (r=1.00) boxed."
M10,Gene×condition DE 熱圖,矩陣族,M10_gene_condition_DE.png,b40d9294-52b5-4710-81c5-6950191913b0,"Gene x condition n_DE heatmap for the 15 shortlist genes (magma, log scale) with row dendrogram and per-cell counts; a TCR-signaling cluster (CD3E/LAT/PLCG1/CD247/VAV1, labelled green) responds far more strongly after stimulation than at rest (rest is the minimum for all five; stimulated counts >=50x higher)."
M2,階層聚類熱圖,矩陣族,M2_cluster_heatmap.png,cf645e23-b6db-40bd-b81a-84029f5e7751,"Same correlation matrix reordered by hierarchical clustering (1-|r|, average linkage) with dendrogram on top; the four DE-count metrics collapse into one block."
M3,Hexbin 六角密度,矩陣族,M3_hexbin.png,5f540aee-2e7b-4712-8d8b-37cf4d1a8bfb,"Hexbin density of cells assayed (x, log) vs total DE genes+1 (y, log), LogNorm colourbar; median=2 DE genes line shows most perturbations move few genes regardless of cell count."
M4,2D density 密度散點,矩陣族,M4_density_scatter.png,23035b79-eb5c-4707-9d2b-581428425047,"2D density scatter (points coloured by local 2D-histogram density, LogNorm) of on-target effect size vs total DE genes (log), 25,920 rows with DE>0; stronger knockdown coincides with broader response."
M5,Scatter matrix 散點矩陣,矩陣族,M5_scatter_matrix.png,4712945d-edaa-4e21-9afe-31a2286951f9,"4x4 scatter matrix (hexbin off-diagonal, histograms on diagonal) of cells/effect/DE genes/genes-up in log space; effect size decouples from the tightly-coupled count metrics."
M6,條件×指標熱圖,矩陣族,M6_condition_metric_heatmap.png,57843977-5cae-44f3-bd16-125e11194fb9,"Condition x metric heatmap (7 metrics x Rest/Stim8hr/Stim48hr), row z-score colour with raw values annotated; hit-rate & knockdown strength rise with stimulation, mean DE breadth peaks at 8h. Condition ticks in fixed colours."
M7,Joint scatter 邊際散點,矩陣族,M7_joint_scatter.png,3761f44a-31ce-4d93-b5bb-bd02fd800ac9,"Joint hexbin (all rows, greys) + gate-passing overlay (2,131 rows, red) of cells vs DE genes with marginal histograms and gate thresholds (>=200 cells, >=50 DE genes) drawn."
M8,Dendrogram 聚類樹,矩陣族,M8_dendrogram.png,f5b11d6d-ebc1-47d7-98fa-a7acbf6e9f49,"Standalone Ward dendrogram clustering the 15 shortlist genes by their 3-condition effect-size profile; CVD-safe link palette, italic gene labels."
M9,Contour 等高線,矩陣族,M9_contour.png,854699e6-999d-4ff4-a170-9a1fa06cb57a,Filled 2D-KDE contour of on-target effect size vs total DE genes (log) over the populated range; response mass concentrated at weak knockdown and few DE genes.
N1,STRING 網路,網路族,N1_string.png,b8161148-d035-474c-b474-94e2187858e1,shortlist 基因的已知蛋白交互網路（STRING/文獻）；三模組圓形叢集佈局。節點色=功能模組(TCR近端訊號/SAGA/Mediator)，節點大小∝|平均在標效應量|(effect_matrix 三條件均值)，邊=已知PPI。
N2,Chord 環形網路,網路族,N2_chord.png,e466dc9c-48ba-4983-b176-e30a724fc5aa,同一 16 節點網路的環形(chord)呈現；節點依模組排在圓環上，弧線=已知PPI，色隨模組。凸顯三模組各自內部緊密、彼此無已知直接交互。節點大小∝|平均在標效應量|。
N3,Venn 文氏圖,網路族,N3_venn.png,00efbf9a-0a2a-4c6b-adea-697dcb0ac8f6,"基因層三集合文氏圖：顯著命中(7,913)、通過門檻(1,235)、有脫靶(1,152)。由 raw 的 ontarget_significant/offtarget_flag 與 curated 的 passes_gate 依基因彙整。顯示通過門檻全內含於顯著，脫靶有93獨立。"
N4,Manhattan 曼哈頓式,網路族,N4_manhattan.png,d39bb657-21ef-47a6-9e3c-a0b0c9762768,"曼哈頓式散點：x=標的基因(字母序)，y=下游DE基因數(log, n_total_de_genes)，色=三條件。排除脫靶列。標註15個shortlist中DE>1000者，凸顯少數核心標的驅動多數下游反應。"
N5,Slope 斜率圖,網路族,N5_slope.png,a366c12e-f940-4e0d-a5f8-2c1602df2f39,斜率圖：15個shortlist基因在 Rest→Stim8hr→Stim48hr 的在標效應量(effect_matrix)變化。色=刺激後減弱(12/15)/增強(3/15)；右端展開式基因標籤。
N6,Stacked area 堆疊面積,網路族,N6_stacked_area.png,74ee2278-807c-46d4-b87c-95bd3759a5db,"堆疊面積：三條件(時序)下受影響標的依 DE 基因數分層(1–9/10–49/50–199/200–999/≥1000)之組成。由 de_matrix 計算,僅計有≥1個DE基因的標的(n=9,399/9,672/9,686)。顯示廣效標的略增、整體組成穩定。"
N7,UpSet plot 集合交集,網路族,N7_upset.png,ea70325e-4fa5-4a9d-b614-93e0d682eaba,"UpSet 集合交集(matplotlib自繪)：4集合 顯著(7,913)/通過門檻(1,235)/脫靶(1,152)/廣效(10)。上方=交集大小長條，左方=集合總量，點矩陣=成員組合。"
R1,Lollipop 排序,排序族,R1_lollipop.png,cb340056-2f57-4399-a6f9-bcda65770065,"Dumbbell/lollipop of 15 shortlist genes ranked by max downstream-DE breadth (de_matrix Rest/Stim8hr/Stim48hr); 3 condition dots + connector per gene. Cover图, title qualified to true form: breadth peaks under stimulation for 14 of 15 (only UBXN1 peaks at Rest)."
R10,Dot-plot matrix (scanpy式),排序族,R10_dotmatrix.png,53b27092-085e-49a6-919a-5a147046496a,"Scanpy-style dot-plot matrix: 15 genes × 3 conditions, dot size = breadth (de_matrix), dot color = signed effect (effect_matrix) on RdBu_r diverging map centered at semantic zero (§4.4). Effect strength and breadth diverge across targets/time."
R2,Diverging bar 分歧長條,排序族,R2_diverging_bar.png,642b5eb3-1e64-466c-8f91-a835b9bd8f20,"0-centered diverging bar: downstream genes down-regulated (left) vs up-regulated (right) per shortlist gene, Stim8hr, on-target-significant & non-offtarget rows only (n_up_genes/n_down_genes). Up>down for 12 of 13."
R3,Stacked bar 組成長條,排序族,R3_stacked_bar.png,0085c032-6c45-4425-81f0-1eaa994db5ed,100% stacked bar of response-size composition (n_total_genes_category: no effect/1/2-10/>10 DE) across all tested knockdowns per condition. Sequential single-hue ramp; composition nearly constant across conditions.
R4,Waterfall 瀑布圖,排序族,R4_waterfall.png,5a5120ee-3271-49dd-81df-5742c38aa093,"Waterfall of all 6,290 Stim8hr on-target-significant knockdowns ranked by signed on-target effect; 4 strongest shortlist genes leader-labeled (staggered). Nearly all reduce expression with a deep tail (min ≈ −51)."
R5,Bubble 泡泡圖,排序族,R5_bubble.png,1bb4dae4-e464-431d-bbc9-ee1c864279c6,"Bubble: breadth (log x) vs on-target effect (y), bubble size = n_cells_target, color = condition, shortlist rows. Silencing strength & breadth vary independently (Spearman ρ≈0, verified)."
R6,Grouped bar 分組長條,排序族,R6_grouped_bar.png,12fcbe86-c89c-43c5-beb7-3a88c21e3381,"Grouped bar: downstream-DE breadth by condition for top-6 targets (de_matrix), 3 bars/gene fixed colors. Peak response lands at 8hr not 48hr for all 6."
R7,Bar with error bars 誤差棒長條,排序族,R7_errorbar.png,b640a7f5-5f88-4b72-a72d-713797a7890f,Bar + 95% CI (t-dist) of mean on-target effect per condition (included KDs; n printed). Silencing strength stable across conditions (−11.4/−12.3/−12.1).
R8,Point plot 點趨勢,排序族,R8_point.png,1ee05fb9-2c1b-4558-bcf7-42da2ca05864,"Point/slope trend of breadth across 3 conditions for 15 shortlist genes (thin raw lines) + bold median diamond glyph. Median breadth peaks at 8hr (4,142) then narrows by 48hr (3,114)."
R9,MA plot,排序族,R9_MA.png,fbceab01-445f-461d-af46-ab60179e9dfe,"MA plot: target baseline expression (log x) vs on-target effect, Stim8hr; not-significant grey, on-target KD orange, off-target flagged as open red rings (§1.1). Detectable across full expression range."
V1,PCA 主成分,降維與複合族,V1_PCA.png,4e4d9665-a50b-442b-ae2b-82af6dad4220,"PCA(PC1 55%, PC2 33%) of 11,086 targets on standardized 3-condition effect + log1p(nDE) features; grey = other targets (9,861), viridis = gate-passing (1,225) colored by mean |effect|, 15 curated shortlist ringed with leader labels, corner arrows per §6.6."
V2,t-SNE,降維與複合族,V2_tSNE.png,a48cc5c7-7afe-47d0-8236-a50d8172d804,"t-SNE of the same target×condition feature matrix; grey other / viridis gate-passing / ringed shortlist, corner arrows — response neighbourhoods grouping curated targets."
V3,UMAP,降維與複合族,V3_UMAP.png,c6722321-6266-4302-a80a-0c377d10bd90,UMAP of the same feature matrix; grey other / viridis gate-passing / ringed shortlist — curated targets share response neighbourhoods.
V4,Radar 雷達圖,降維與複合族,V4_radar.png,d7109547-2a88-43b9-9056-ab97b69f5bde,"Radar over the 15 shortlist genes (spokes) with three condition polygons = on-target |effect size|; fixed Rest/Stim8hr/Stim48hr colors, radial limit tightened to data."
V5,Circular bar 環形長條,降維與複合族,V5_circular_bar.png,93338205-e03d-4367-bb14-6aca66cba045,"Circular grouped bar: 15 shortlist genes ranked by 3-condition mean |effect|, three bars/gene by condition; CCNC ranks top."
V6,PCA biplot 載荷雙標圖,降維與複合族,V6_pca_biplot.png,2e206c36-f172-4feb-bb2a-2309ec7c641c,"PCA biplot: PC1/PC2 scores + loading arrows for 6 features (3 effect condition-colored, 3 nDE neutral); effect and DE-count load on opposing PC1 directions, effect trio near-collinear."
