gene,n_conditions_significant,sign_consistency,n_cells_tier,evidence_strength,evidence_caveat
CD28,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CD3E,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
CD5,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
COA7,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
COQ6,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
DLAT,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
DPH6,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ECSIT,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
EGR2,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
FITM2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
FOSL2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
GADD45GIP1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
GATA3,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
GRSF1,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
GTPBP10,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
GZMB,1,True,med,medium,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
HACD2,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
HACD4,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
HIF1A,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IBA57,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ICOS,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IFNAR1,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IFNGR1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IFNGR2,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IKBKB,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IL23R,1,True,med,medium,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IL4R,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IL7R,1,True,med,medium,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
INPP5D,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
INSIG1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IRF1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
IRF4,1,True,med,medium,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ITK,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
LAMTOR4,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
LAT,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
LIG3,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
LRBA,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MALT1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MED13,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MMGT1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MTA3,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MTCH2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MTG1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MTHFD1L,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MTHFD2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
MYC,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NATD1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NDFIP2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NDUFA9,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NDUFAF3,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NFATC2,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NFKB1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
NSUN4,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ORAI1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
PDCD5,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
PLCG1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
POLG,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
PPP3R1,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
PTCD2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RAC2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RBFA,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
REL,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RELA,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RNFT2,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RPTOR,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RPUSD3,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
RRAGC,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
SLC3A2,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
SMARCA4,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
STAT3,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
STAT5A,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
STAT6,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
TBX21,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
TFB1M,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
TMX1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
UBE2E2,2,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
UBE2V2,3,True,high,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
VAV1,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
VPS8,3,True,med,high,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
ZNF837,1,True,med,medium,"Proxy derived from a SINGLE Perturb-seq dataset (CD4+ T cells, 3 timepoints Rest/Stim8hr/Stim48hr); reflects within-study internal consistency only, NOT cross-study reproducibility."
