phase,module,category,dir,purpose,input_contract,output_contract,shared_deps,isolation_rule,freeze_kind,freeze_value,shape_or_filecount,validation_authority,status,frozen_at
P2_preprocessing,src/2_embedding,code,src/2_embedding/,NTC/cell embedding computation used downstream for integration,QC-d count matrices from stage 1 (out of repo),CODE MODULE - freeze=git blob-sha set; no committed data contract (embeddings regenerated),environment.yaml (scanpy/pertpy); stage-1 outputs,edit only under src/2_embedding/; consumes stage-1 read-only,module_blob_sha256,0463e0438e246bf8c4691a3ad8b2eb5ede6b8479a17e75ea171e167f450372bd,2 files,self (dir blob-sha set); no data pin (active/regenerated),OK,2026-07-12
P2_preprocessing,src/9_cell_integration,code,src/9_cell_integration/,Integrate cells across samples/donors; perturbation-response readouts; runtime YAML+manifest parameterised,user-supplied real data via manifest.template.csv + cell_integration.example.yaml (paths at run time),CODE MODULE - freeze=git blob-sha set; no data contract (outputs run-specific per runtime manifest),environment.yaml; stage-1/2 outputs at run time,edit only under src/9_cell_integration/; data binding via runtime manifest/YAML; never hardcode sibling paths,module_blob_sha256,7c5174837e26fa69fd419af8841d407b932017cd5bac1466855e85c3e7b37eba,6 files,"self (dir blob-sha set); active cloud-dev code, no data pin",OK,2026-07-12
P3_statistics,cytokine_regulators,code,src/5_cytokine_regulators/,找出調控細胞激素程式的擾動標靶並做後續分析(細胞激素受體焦點基因清單),DE 統計 + cytokine_receptor_genes.txt(細胞激素受體焦點基因),notebook 派生分析(cytokine_regulators_overview / followup);對應論文細胞激素調控子圖,上游 DE 統計;figure_map.md,"僅編輯本資料夾。無固定資料輸出契約(notebook 探索),freeze = 程式碼 blob 集合。",module_blob_sha256,5cb82d2d4b7339c30c9599fcdc67fcd28cdc49114f08d8299d58a6fb44f07579,4 files,code_blob_sha 定版(notebook + 焦點基因清單);無獨立資料契約,OK,2026-07-12
P3_statistics,de_engine_and_backend,code,src/3_DE_analysis/,DE 統計引擎(pseudobulk→chunked DE→merge)+ target-card 契約 core/ + FastAPI 唯讀後端 api/ + contracts/(card_schema 39欄)、power/donor/guide robustness、K562 對照,raw/curated DE 資料(依 stage README)、DE_config_*.yaml、上游 layer tables + evidence/pathway 快取(唯讀),"pipeline data/*.csv(stages 1.1–1.4)+ card JSON(contracts/card_schema.py 39欄, kd_status∈{confirmed,weak,not_measurable,not_assessed}, grade 1–4)、HTTP/JSON API",src/utils.py; environment.yaml; contracts/card_schema.py; tests/fixtures/golden_*.csv,"各 src/N_* 子資料夾自足;不跨編號資料夾 import,只經寫出的 artifact 分享。後端內部可自由改寫,只要 card_schema JSON 契約不變。",module_blob_sha256,e7f0b179dc14b7763a0c04e58963f5ee56c6ca55783ee609789d70b75371c318,118 files,pytest (test_api_openapi/test_triage_target_api/test_exports_provenance/test_join_integrity/test_golden_file) + contracts/card_schema.py:validate_cards; test_freeze_integrity.py,OK,2026-07-12
P3_statistics,functional_interaction,code+data,src/6_functional_interaction/,"下游功能富集(GO)、條件/組織專一性、聚類、T活化調控子,與 Open Targets 自體免疫疾病關聯",上游 DE/聚類結果;Open Targets 疾病基因(download_disease_genes.py),results/ 聚類富集(clustering_nde75ntotal50_enrichment*.csv/parquet/xlsx)、cluster_autoimmune_enrichment_results.csv、疾病基因 barplot SVG,上游 DE schema;Open Targets API;下游「疾病轉譯」工具的來源之一,"僅編輯本資料夾;疾病關聯匯出以檔案交付下游,不被下游 import。",module_blob_sha256,46b15351b7ed1bcac76866b2da4e3ffedde65ade83afb1e50225e67b135f90b9,27 files,code_blob_sha + 輸出檔 md5;Open Targets 富集可用 live API 重查驗證,OK,2026-07-12
P3_statistics,level4_external_validation,doc+data,docs/mvp-research/level4_external_validation/,以獨立公開資料集正交交叉驗證 signed 排名(5 級驗證階梯之 L4):GWAS/Open Targets、STRING、GEO GSE318876,"signed_ranking_v2(10,851;55-target shortlist)+ 外部 Open Targets/STRING/GEO GSE318876",track_a_gwas_genetic_association.csv(55×16)、track_b_string_partner_recovery.csv(15×7)、track_c_gse318876_target_evidence.csv(1235×12)、validation_target_set.csv(55×8)、level4_external_validation_figure.png,"signed_ranking_v2.csv(上游,唯讀);外部公開 DB;phenotype_matched_crosscheck.py",僅編輯本資料夾;唯讀消費 signed 輸出、產出自有 tracks — 與 stages 01–07 解耦。association≠causation 限制須保留。,module_blob_sha256,02d68fcdf2744b7c2c49f6f9a30eb276b8fad0ffeda2dd6db37ef30495b675bc,15 files,third-party recompute(15/15 numbers;live Open Targets 重查 TYK2/STAT3/CD3E)+ pytest test_phenotype_matched_crosscheck.py,OK,2026-07-12
P3_statistics,lymphocyte_lof_burden,code+data,src/8_lymphocyte_counts_LoF/,Regulator-burden 相關分析對淋巴球數量;找各條件(Stim8hr/Stim48hr)核心基因及其調控子,input/ 外部 LoF burden 估計(Backman 2021 per-gene estimates、shet_10bins、gencode v41 gene map),results/ core_genes_{cond}_{dir}.txt(4)、core_genes_enrich_analysis_results.csv,外部 Backman/gnomAD burden 資料;R 腳本(Regulator_burden_correlation_*.R),僅編輯本資料夾;R 與 notebook 分析獨立於主 pipeline。,module_blob_sha256,703ef34b27b6ad39b2faf989a81acc76f7d2f6567dc9fd6c5304b07dcfb21392,14 files,code_blob_sha + core-gene 清單/富集 md5;R×外部 burden 重算比對,OK,2026-07-12
P3_statistics,ml_perturbation_prediction,code,src/10_ml_perturbation_prediction/,刻意隔離的探索性 ML 實驗場:預測下游被影響基因(GenePert 風格基線、GEARS GNN、known-regulator 分類、real-features 基線);誠實負面報告,"metadata/suppl_tables/full_signed_DE(205萬配對,10,851標的)、gate_passing_signed_DE","results/*_benchmark.json + *_README.md(基準結果,永不寫入 target_cards/readiness)","自有 requirements.txt(獨立 venv,不進 environment.yaml)","硬邊界:絕不 import src/3_DE_analysis production 路徑,production 也絕不 import 此目錄。輸出只寫本目錄 results/。GroupKFold 防洩漏、deterministic、unknown≠0。",module_blob_sha256,1282486c7c0248be769631c13f280d3dadae317cf06f231f00585ee58239f0fb,19 files,pytest (test_perturbation_prediction_benchmark/test_perturbation_prediction_ml) + benchmark.json 定版;決定性 seed 可重算,OK,2026-07-12
P3_statistics,onek1k_external_analysis,code,src/7_1k1k_analysis/,以外部 OneK1K 族群單細胞資料做 DE 與 pert2state 模型的比較/外部驗證,GWT 擾動效應 + 外部 OneK1K 族群單細胞資料,notebook + 腳本鏈 (process.py→1k1k_analysis.py→compare.py→plot.py) 派生比較(無 committed 資料輸出),GWT 擾動效應 artifact;外部 OneK1K 資料,"僅編輯本資料夾;純外部驗證,不寫回主 pipeline。無 committed 資料契約。",module_blob_sha256,c7a46adf74106db62a8058d912f7702ce1ad42af88527cf0b6f5a8b754b64b9b,7 files,code_blob_sha 定版(notebook + 4 個 .py 腳本);外部資料重算比對,OK,2026-07-12
P3_statistics,polarization_signatures,code+data,src/4_polarization_signatures/,Th1/Th2/Treg/Th17 極化差異表現(DE)與極化預測模型;discovery/replication 比較、外部對照(Ota/Arce/Hollbacher/Oh/Yazar),src/2 嵌入 + DE 統計;外部對照資料集,results/ 內各極化 DE CSV、polarization_model_coefs.csv、Ota sweep 評估、單細胞 signature/volcano SVG,上游 DE 統計 schema;figure_map.md(論文極化圖),"僅編輯本資料夾;讀上游只透過已發佈 artifact。輸出為描述性 DE 結果表,非 pipeline stage 契約。",module_blob_sha256,06ecc7c78d709416b6aede86010806e9187ff6dc65ba2625c0b139becaac0a41,32 files,code_blob_sha 定版 + 描述性輸出檔 md5(non-pipeline;第三方可用相同外部資料重算 DE 比對),OK,2026-07-12
P3_statistics,signed_de_application,doc+data,docs/mvp-research/signed_de_application/,補上 count-only pipeline 缺的基因層次 signed 方向性(blindspot 3):scale-free 極性排名(directionality_index)、footprint 類別、corrected-background 富集、LINCS 一致性,"Marson-lab GWCD4i.DE_stats.h5ad(S3, 15.63GB, GB10 萃取)— 獨立 raw source,非 33,983 列表","signed_ranking_v2.csv(10,851×28)、downstream_enrichment_v2.csv(12,975×10)、lincs_concordance.csv、signed_application_figure.png",producing script reproduce_signed_tracks.py;DATA_DICTIONARY.md;reactome snapshot,僅編輯本資料夾 + reproduce_signed_tracks.py。獨立於 stages 02–07(不同 raw input)— 可重建 signed tracks 不動主 pipeline。directionality_class(legacy)/expression_artifact_flag(不可重算)caveat 須保留文件化。,module_blob_sha256,32a260cff0b38b0bbc2f973451ebef65443a03e282f72041e8979c5be7c31bf9,6 files,"GB10_SIGNED_DE_VALIDATION.md coverage 對源 README(2,056,424 sig pairs;10,851 標的;28,757 target×cond 對主 pipeline n_up/n_down/n_total 全等 max diff 0)+ MASTER_REVIEW_SUMMARY.md 30/34 spot-check",OK,2026-07-12
P3_statistics,stage04_statistical_doc,doc+data,docs/mvp-research/pipeline/04_statistical/,統計摘要層(pipeline stage 04):全域 KV 摘要 + 逐條件擾動方向統計;可重現性驗收點,"02_curated/curated_targets.csv(直接讀 curated,非 processed)","data/summary_statistics.csv(18 metric×{metric,value})、data/condition_stats.csv(3 條件×4);README + EDA 派生文件",curated schema;cross_validation_results.csv(每 metric calc_logic),僅編輯本 stage 摘要 transform + README。此層為 R×Python cell-by-cell 0-mismatch;任何編輯須在兩語言重現。加 metric = 追加列 + 擴充 R 與 Python 實作 + 重新定 checksum。,module_blob_sha256,20bd2836a3254d8887c0b1ed475dc270931aa4742c27bdb04cf0206f3fd79054,5 files,"R×Python parity(stats_parity_report.md 24/24 PASS,唯一非零差 4.44e-16)+ third_party_verification.md(18-metric core 兩語言 md5 match)+ _validation/cross_validation_results.csv",OK,2026-07-12
P4_figure_visualization,figure_metadata,config/doc,metadata/figure_map.md + metadata/figure_palettes.yaml,圖表 metadata:figure_map.md(圖-源對照)+ figure_palettes.yaml(配色),none (authoritative),figure_palettes.yaml palette keys + figure_map.md IDs + figure_guide.md rules,consumed by 05_visualization & visualization,palette edit is CROSS-MODULE (shifts all figure colors); re-render+re-audit all after edit,module_blob_sha256,34d7da8de2841f80a1c8ca35baf0a2369598b5234711f3bb52e350e5a746c08a,2 files,visual-audit (color/style regression),OK,2026-07-12
P4_figure_visualization,viz_design_catalog,data/design,docs/mvp-research/visualization/,design-side chart catalog + interactive/3D HTML prototypes + 15 AlphaFold cif,design intent + processed schemas (read-only),"chart_catalog.csv (53), interactivity_spec.csv, STAGE1/2/3 HTML+MD, figures/*.png, structures/*.cif",none downstream (pure presentation),edit under docs/mvp-research/visualization/ only; cannot affect pipeline numbers,module_blob_sha256,6d306bc296cfe121326903eb19d33394c1ca8cc8680a9860916434cb7273b3b9,29 files,visual-audit + chart_catalog completeness,OK,2026-07-12
P4_figure_visualization,viz_pipeline_05,data/figures,docs/mvp-research/pipeline/05_visualization/ + docs/mvp-research/pipeline/05_visualization/refined_figures/,"53-chart refined figure render stage; render-only, no new statistics",stages 02/03/04 tables (read-only) + figure_palettes.yaml,refined_figures/<ID>.png x53 + REFINED_CATALOG_53.csv (53x6),upstream 02/03/04 schemas; figure_registry.csv,edit under 05_visualization/ only; cannot alter upstream numbers; re-audit 53 IDs,module_blob_sha256,b7773d7f543848a4b91ec3a9d1dcc1dd119f96f802848bd0c55422b8290425b2,57 files,visual-audit vs figure_registry.csv,OK,2026-07-12
P4_figure_visualization,viz_pipeline_06_animation,doc,docs/mvp-research/pipeline/06_animation/,presentation animation layer; 1:1 timed reveal of stage-05 statics; AS-IS (doc only on main),stage-05 statics + 02/03/04 (read-only),documented: anim01-10.gif 25fps + cover mp4/png (no binaries committed on main),stage-05 figure set,edit under 06_animation/ only; each anim maps to an audited static,module_blob_sha256,7a9f6b7170b82811a778af92cd59219b4ca20494e89f410c303776a7729e5b70,1 files,visual-audit,OK,2026-07-12
P5_informative_figure_server,dashboard_doc_07,doc,docs/mvp-research/pipeline/07_dashboard/,dashboard consumer-layer doc; runtime is backend(P5.2)+frontend,all upstream tables + _evidence/_pathway json (documented),stage-07 doc; runtime real-dataset.json pinned separately in FREEZE_MANIFEST,backend API + frontend,edit doc here; runtime isolated in src/3_DE_analysis + frontend/,module_blob_sha256,a9cf5bb6f469bd71f714a7092024663b9a05b17dc85588cb8618a86b5b459e6b,1 files,visual-audit(doc)+pytest(runtime),OK,2026-07-12
P5_informative_figure_server,de_api_backend,code,src/3_DE_analysis/api/,read-only FastAPI target-card backend; 47 route handlers across 19 routers,frozen upstream DE artifacts + evidence caches (read-only via deps.py),HTTP/JSON API pinned by contracts/card_schema.py + tests/test_api_openapi.py,contracts/card_schema.py; core/,change internals freely iff JSON contract holds; frontend never imports these,module_blob_sha256,45bd7d8ed680f7d92b9f2b6ea7b23ea143390244bf85e3d27dfa8c9f4b4cba1e,23 files,pytest tests/test_api_openapi.py + golden fixtures,OK,2026-07-12
P5_informative_figure_server,perturbase_frontend,code+data,docs/mvp-research/perturbase_frontend/ + docs/mvp-research/perturbase_frontend/catalog/,"flagship/informative figure factory: 71 figure_scripts + 71 rendered PNG + bilingual catalog (PR#69, 404 claim CORRECTED)",frozen upstream signed/level4/stage-05 artifacts (read-only),figure_scripts/<ID>.py -> matching PNG; ALL_CHARTS_CATALOG_bilingual.csv master manifest,upstream data; FIGURE_SCRIPTS_INDEX.csv,edit under perturbase_frontend/ only; scripts re-render from frozen upstream,module_blob_sha256,6437c5c07941c4ac5ffc04b80fe88e30fbb24cb0ebeec07cb59838aff83c7a88,146 files,visual-audit + catalog/script-index completeness,OK,2026-07-12
P5_informative_figure_server,webserver_public_assets,data/assets,frontend/webserver/public/ + frontend/webserver/public/flagship/delivery_funnel.png + frontend/webserver/public/flagship/screen_story.png + frontend/webserver/public/gallery/figures/A16.png + frontend/webserver/public/gallery/figures/A17.png + frontend/webserver/public/gallery/figures/A18.png,SPA-served static assets: flagship figures + full gallery PNG set + 3D cif + charts.json,rendered outputs from P5.3/P4 (build-copied),stable asset paths + gallery/data/charts.json (141KB) + structures.json,P5.3 figure scripts; backend API,edit under public/ only; assets re-rendered from frozen sources,module_blob_sha256,9192b6d7e8b9f511c9e816a97d831aafa37c40c8a2e718d3d6b25fcd904eb942,215 files,visual-audit + charts.json manifest integrity,OK,2026-07-12
P6_frontend_devops,freeze_validate_scripts,code,scripts/,"Freeze/validate/EDA devops scripts: freeze_pipeline.py, validate_pipeline.py (read-only collector), generate_stage_eda.py",Pipeline data files (read-only),Terminal report / freeze manifest; no pipeline mutation,pipeline data layout; make targets,Edit scripts/ only; validate_pipeline decides nothing (tests/ are authority); run make validate-pipeline,module_blob_sha256,350073f6ca16587dd9acfb2e6275aec8de59c74539b36c2b51b315fce50c1223,10 files,pytest tests/test_validate_pipeline_collector.py; make validate-pipeline runs,OK,2026-07-12
P6_frontend_devops,devops_build_config,code,frontend/webserver/package.json + frontend/webserver/package-lock.json + frontend/webserver/vite.config.ts + frontend/webserver/tsconfig.json + frontend/webserver/tsconfig.app.json + frontend/webserver/tsconfig.node.json + frontend/webserver/index.html + frontend/webserver/.oxlintrc.json + frontend/webserver/.gitignore + frontend/webserver/scripts + Makefile + environment.yaml + pytest.ini + .gitignore + netlify.toml + frontend/webserver/README.md,DevOps/build:前端 build/config(package/vite/tsconfig/index.html)+ 頂層 Makefile/environment.yaml/pytest.ini/.gitignore/netlify.toml,Node/npm toolchain; source under src/,Production build bundle; real-dataset.json export,package.json/package-lock.json pinned deps,Edit build/config here only; keep package-lock in sync; rebuild to validate,module_blob_sha256,35a10acac6a36d09aa95b9c685f46a49457298b822ee25130450d61c5a994751,15 files,npm run build succeeds; lockfile parity,OK,2026-07-12
P6_frontend_devops,frontend_readme,doc,frontend/README.md,Frontend module boundary rules (no import of backend internals; JSON is only contract),n/a (human-readable),Module isolation rule statement,none,Edit doc only; reflects current React SPA (not stale Streamlit),module_blob_sha256,63aadecb840469826f927f79186a95f9c179ff35a6f27a4eed47904e605b533c,1 files,human review,OK,2026-07-12
P6_frontend_devops,frontend_spa_src,code,frontend/webserver/src/,"React/TS SPA source: App, views (Explorer/Compare/Dossier/Clinical/Deck/Figures/Provenance/ApiDocs/Home), components, data models, lib (drawFigure/logic), store",FastAPI HTTP/JSON only (card_schema.py contract) + static public/real-dataset.json,Rendered SPA UI; writes nothing back to pipeline,FastAPI JSON contract (card_schema.py); webserver/package.json deps,Edit only frontend/webserver/src/; never import src/3_DE_analysis internals; run npm run build + pytest,module_blob_sha256,884b5c3a5e7fc66cc0592a24d524f3a591fd00ba4c201803c45e21abdca1c4f6,54 files,"npm run build (make web) + pytest tests/test_empty_states.py,test_upload_ui.py",OK,2026-07-12
P7_documentation,API,doc,docs/API.md,Named authority doc: API.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,0439dad9a7f0da17cbcb592567c81fa35bea42ffd2c961c9cde651cf90731b3e,1 files,human review + matches code,OK,2026-07-12
P7_documentation,DRUG_DISCOVERY_TOOL_DEVELOPMENT_PLAN,doc,docs/DRUG_DISCOVERY_TOOL_DEVELOPMENT_PLAN.md,Non-mvp human-readable doc: DRUG_DISCOVERY_TOOL_DEVELOPMENT_PLAN.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,188f0f35a62a387271faf6f2d32f9eda88aa69247455c4854d9b2a2970d44a61,1 files,human review,OK,2026-07-12
P7_documentation,FRONTEND_HANDOFF,doc,docs/FRONTEND_HANDOFF.md,Non-mvp human-readable doc: FRONTEND_HANDOFF.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,e51d1f583b680cfecf9a57144387975b01600b8d8f70cf3053c0abd5bab53ef6,1 files,human review,OK,2026-07-12
P7_documentation,FRONTEND_HANDOFF.en,doc,docs/FRONTEND_HANDOFF.en.md,Non-mvp human-readable doc: FRONTEND_HANDOFF.en.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,2e70466be4f82e53f532b6135561d911f6227ab946e16a4006ccbefccfcc552a,1 files,human review,OK,2026-07-12
P7_documentation,IMPLEMENTATION_PLAN,doc,docs/IMPLEMENTATION_PLAN.md,Non-mvp human-readable doc: IMPLEMENTATION_PLAN.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,e983d0594d114db134efab5203f211a47f756fc207407ac63487890736f919b0,1 files,human review,OK,2026-07-12
P7_documentation,REPRODUCIBILITY,doc,docs/REPRODUCIBILITY.md,Named authority doc: REPRODUCIBILITY.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,a8dccdd9c1226ec96708a88c193fcee6c6ef3271217ee4a6c418eed5f94729df,1 files,human review + matches code,OK,2026-07-12
P7_documentation,ROADMAP,doc,docs/ROADMAP.md,Non-mvp human-readable doc: ROADMAP.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,3314084c80b3213f35763d03d95853628f3acda2a5b213e4162deb1f0ae11c73,1 files,human review,OK,2026-07-12
P7_documentation,architecture_refactor_plan,doc,docs/architecture_refactor_plan.md,Non-mvp human-readable doc: architecture_refactor_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,72ae70c27690a5710179e55dffd4a5c5dbaf34e76aa74060159f797185d495fe,1 files,human review,OK,2026-07-12
P7_documentation,bulk_download_schema,doc,docs/bulk_download_schema.md,Non-mvp human-readable doc: bulk_download_schema.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,aadb6869cde59eb9e90feb2520612a63222d4c0812dc6778a2f2571ac39d3832,1 files,human review,OK,2026-07-12
P7_documentation,cache_and_versioning_policy,doc,docs/cache_and_versioning_policy.md,Non-mvp human-readable doc: cache_and_versioning_policy.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,fc56696bf9015d6dd4a6d127fef8b9989bcd27fa03de252532b34faa23486b9c,1 files,human review,OK,2026-07-12
P7_documentation,compass_concept_integration_plan,doc,docs/compass_concept_integration_plan.md,Non-mvp human-readable doc: compass_concept_integration_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,f8ef78948b738c88f9a4ec8ba178fc68f2c13460f3b37b2c58ac69804d06f31c,1 files,human review,OK,2026-07-12
P7_documentation,concept_dictionary,doc,docs/concept_dictionary.md,Non-mvp human-readable doc: concept_dictionary.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,b229397b10d054c170464a5178278750e82d475c2bd470bd27493e639f05b895,1 files,human review,OK,2026-07-12
P7_documentation,data_dictionary,doc,docs/data_dictionary.md,Non-mvp human-readable doc: data_dictionary.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,0e26b66ebb1892e91a08d4cd669051acdf0a9cbea592fa11fbbc57b3a7da39a8,1 files,human review,OK,2026-07-12
P7_documentation,data_governance_checklist,doc,docs/data_governance_checklist.md,Non-mvp human-readable doc: data_governance_checklist.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,b2a3d66f5989381401bd31db1e981521e73f887d3a0071b6f86e05d6e713b7e5,1 files,human review,OK,2026-07-12
