id,batch_file,panel,title_zh,fields,description,interpretation,cognitive_load,data_source
M5,gallery_2,Scatter matrix,散點矩陣（Pairs）,['3 個特徵兩兩配對'],3 個特徵的所有兩兩散點 + 對角線直方圖。,一次看多個特徵間的所有關係。適合探索階段找出哪些特徵有結構。認知負擔較高，不適合終端使用者儀表板。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
M6,gallery_2,Condition heatmap,條件×指標熱圖,['7 特徵 × 3 條件'],每個指標在三條件下的平均值（每列 z 標準化）。,快速看出哪些指標隨活化狀態改變。紅=該條件高於平均、藍=低於。用於發現條件特異的整體趨勢。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R1,gallery_3,Lollipop,標的排序棒棒糖圖,['n_total_de_genes（max across cond）'],top 標的按最大效應廣度排序。藍=免疫候選、紅=broad-effect 旗標。,MVP 首頁最推薦的排序圖——低認知負擔、一眼看出前段班。顏色立刻區分「真免疫訊號」vs「泛效應污染」，直接呈現 C7 隔離的價值。,1,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R2,gallery_3,Diverging bar,上下調分歧長條圖,"['n_up_genes', 'n_down_genes']",每個標的的上調（右）與下調（左）DE 基因數。,看擾動效應的方向性——某些標的主要壓抑下游（左長），某些主要活化（右長）。反映調控子是活化型或抑制型。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R3,gallery_3,Stacked bar,QC 組成堆疊長條,"['_pass', '_sig']",三條件下，通過門檻/僅顯著/不顯著的標的組成。,看每個條件的資料品質分層。通過門檻（深藍）佔比小反映嚴格 QC。用於向使用者說明篩選漏斗。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R4,gallery_3,Waterfall,瀑布圖（排序效應）,['ontarget_effect_size'],所有標的的敲低效應排序後連續呈現（如 DepMap）。,看敲低效應的整體分佈與極端值。左側深負值=強敲低。用於呈現 CRISPRi 效率的全域分佈。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R5,gallery_3,Bubble,泡泡圖（三指標）,"['effect_size', 'n_de', 'n_cells']",x=效應、y=廣度、泡泡大小=細胞數，附基因標籤。,一張圖三個指標。細胞數大（泡泡大）代表統計證據更強。用於在效應與證據強度間權衡挑標的。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
R6,gallery_3,Grouped bar,分組長條（基因×條件）,['n_total_de_genes'],選定基因在三條件下的效應廣度並排比較。,直接比較同一基因跨條件的效應——看出條件特異性（例如只在 Stim 有效應的標的）。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V1,gallery_4,PCA,主成分分析（PCA）,['5 特徵，3098 標的'],標的在特徵空間降到 2 維。顏色=效應廣度、紅環=broad-effect。,看標的的整體分群結構。broad-effect 基因聚集在高廣度角落，證實它們在特徵空間可分離。PCA 保留全域變異，軸有明確方差解釋%。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V2,gallery_4,t-SNE,t-SNE 降維,['5 特徵，3098 標的'],非線性降維，強調局部鄰域結構。,比 PCA 更能顯示局部簇。但軸無意義、簇間距離不可信。適合探索「有沒有分群」，不適合量化距離。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V3,gallery_4,UMAP,UMAP 降維,['5 特徵，3098 標的'],非線性降維，比 t-SNE 更保留全域結構、更快。,perturb-seq 領域標準降維。broad-effect 基因聚在頂端。用於呈現標的的全景分群，三種降維法結論一致增加可信度。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V4,gallery_4,Radar,雷達圖（多指標）,['3 指標，4 基因'],選定基因在多個標準化指標上的輪廓。,比較少數基因（≤5）的多維特徵輪廓。適合並排比較候選標的的優缺點。基因太多會亂，僅適合精選對象。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V5,gallery_4,Circular bar,環形長條圖,['n_total_de_genes'],top 標的效應廣度以極座標長條呈現。,視覺吸睛的排序呈現，適合報告封面或總覽。資訊等同 lollipop，但精確讀值較難——形式優先於精確度的場合用。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
V6,gallery_4,PCA biplot,PCA 載荷雙標圖,['5 特徵載荷'],PCA 點雲疊加特徵的載荷箭頭。,看哪些特徵驅動 PC1/PC2 的分離方向。箭頭方向一致的特徵彼此相關。解讀降維軸的生物學意義。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N1,gallery_5,Network,STRING 交互作用網路,['STRING API + 候選標的'],候選標的的 STRING 蛋白交互作用網路（score≥400）。藍=免疫、紅=broad-effect。,看標的間的功能連結。免疫標的（CD3E/LAT/CD247/PLCG1/VAV1）形成緊密 TCR 訊號模組；broad-effect 基因連成分離的轉錄機器模組——兩大群在網路上分離，佐證 C7 隔離。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N2,gallery_5,Chord,環形網路（Chord）,['STRING edges'],同網路資料，基因排在圓周、連線在圓內。,節點固定在圓周，適合看密集連接的相對強度。連線粗細=交互作用信心分數。,4,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N3,gallery_5,Venn,證據集合文氏圖,"['_sig', '_pass', 'broad_effect']",顯著、通過門檻、broad-effect 三個基因集合的重疊。,看證據層之間的包含關係。broad-effect 全落在通過門檻集合內——說明光靠統計門檻無法濾掉泛效應，需要獨立的 C7 旗標。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N4,gallery_5,Manhattan,曼哈頓式圖,"['chunk', 'n_total_de_genes']",標的依 chunk 排列，交替色，紅線為門檻（如 GWAS 曼哈頓圖）。,看效應廣度沿處理批次的分佈，檢查有無批次效應。超過紅線的標的即通過廣度門檻者。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N5,gallery_5,Slope,斜率/平行座標圖,['n_total_de_genes 跨三條件'],每個基因跨三條件的效應廣度連線。,看個別標的的條件動態。揭露多數標的效應在 Stim8hr 高峰、Stim48hr 回落的時間模式。斜率方向=條件反應方向。,3,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
N6,gallery_5,Stacked area,堆疊面積圖,"['n_up_genes', 'n_down_genes']",上調/下調總 DE 基因數沿三條件的堆疊面積。,看整體轉錄反應規模隨活化的變化。面積擴大=活化後下游反應更廣。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
DOT,viz_dotplot_3d,3D dot plot,三合一 dot plot（color×size×ring）,"['n_total_de_genes', 'ontarget_effect_size', 'QC status']",一張圖三維度：點大小=效應廣度、顏色=敲低強度、外環=證據狀態（黑環通過門檻、紅環 broad-effect）。x=條件、y=標的。,使用者慣用的三合一呈現，認知負擔低但資訊密度高。一眼看出免疫標的（黑環）只在刺激後有強效應，broad-effect（紅環）跨條件都大。scanpy dotplot + Open Targets 慣例。,2,"DE_stats.suppl_table.csv（公開 S3：s3://genome-scale-tcell-perturb-seq/marson2025_data/suppl_tables/；33,983 列 = 11,526 標的 × 3 條件）"
