asset_type,identifier,title_or_content,notes
supp_fig,Supplementary Figure 25,Effects of perturbations of autoimmune associated genes in regulator clusters,listed in repo metadata/figure_map.md; generated by named analysis notebooks
supp_table,sample_metadata.suppl_table.csv,"Sample metadata — Experimental metadata for all biological samples (donor, condition, library prep, sequencing, demographics)",CSV ~3KB; repo metadata/suppl_tables/
supp_table,QC_summaries_per_sample_lane.csv,"Sample- and lane-level QC metrics summary — Per-sample/lane QC: mean counts, genes, %mt, guide assignment breakdown, cell counts",CSV; described in data_sharing_readme (via CZI/repo)
supp_table,DE_stats.suppl_table.csv,"Differential expression statistics per perturbation-condition pair — Per-perturbation DE summary (n_obs=33,983 perturbation-conditions): n up/down/total DE genes, on-target KD, cross-donor & cross-guide correlations. This is the GWCD4i.DE_stats table the platform uses.","CSV 5.3MB, 33983 data rows; repo metadata/suppl_tables/DE_stats.suppl_table.csv; full per-gene-pair version = GWCD4i.DE_stats.h5ad (n_obs=33,983 x n_vars=10,282)"
supp_table,sgrna_library_metadata.suppl_table.csv,"Guide (sgRNA) library metadata — Per-sgRNA genomic targeting, design, off-target and nearby-gene annotations",CSV ~9.9MB; repo metadata/suppl_tables/
supp_table,guide_kd_efficiency.suppl_table.csv,"Guide knockdown efficiency — Per-sgRNA knockdown statistics across 3 culture conditions (t-test vs NTC, adj p, signif_knockdown)",CSV ~13.3MB; repo metadata/suppl_tables/
supp_table,CD4T_aging_signature_DE_results_full.suppl_table.csv,CD4+ T cell aging signature DE results — Full DE results for age-associated changes across all cohorts (discovery+replication),CSV ~2MB; repo metadata/suppl_tables/
supp_table,Th2_Th1_polarization_signature_DE_results_full.suppl_table.csv,Th2/Th1 polarization signature DE results — Full DE results for Th2 vs Th1 changes across all cohorts,CSV ~6.2MB; repo metadata/suppl_tables/
supp_table,cluster_autoimmune_enrichment_results.suppl_table.csv,Cluster autoimmune disease enrichment results — Fisher-exact enrichment of autoimmune disease genes within perturbation-effect clusters,CSV ~1MB; repo metadata/suppl_tables/
supp_table,K562_comparison.suppl_table.csv,"K562 vs CD4+ T cell comparison — Cross-cell-type correlation of perturbation LFC profiles (K562 vs CD4+T), per gene",CSV ~1MB; repo metadata/suppl_tables/
supp_table,aging_prediction_condition_comparison_regulator_coefficients.csv,Aging prediction regulator coefficients — pert2state model coefficients for aging signature across datasets (CD4T vs K562),CSV ~1.2MB; repo metadata/suppl_tables/
supp_table,polarization_prediction_condition_comparison_regulator_coefficients.csv,Polarization prediction regulator coefficients — pert2state model coefficients for activation/polarization signatures across culture conditions,CSV ~2.6MB; repo metadata/suppl_tables/
supp_table,clustering_results_and_annotations.csv,Regulator clustering results and annotations — HDBSCAN cluster assignments and functional annotations of regulator perturbations,CSV ~0.12MB; repo metadata/suppl_tables/
supp_table,clustering_downstream_genes.csv,Downstream genes of regulator clusters — Downstream DE target genes per cluster with sign coherence and rank scores,CSV ~64MB (large); repo metadata/suppl_tables/
supp_table,IL10IL21bulkRNAseq_DESeq2_results.csv,IL10/IL21 arrayed bulk RNA-seq DESeq2 results — DESeq2 results for arrayed validation bulk RNA-seq of IL10/IL21 regulators,CSV ~14MB; repo metadata/suppl_tables/
supp_table,IL10_IL21_arrayed_validation.csv,IL10/IL21 arrayed validation summary — Summary of arrayed IL10/IL21 regulation validation,CSV ~2KB; repo metadata/suppl_tables/
supp_table,stabl_constructs.csv,STABL constructs — Construct list for STABL / arrayed validation,CSV ~43KB; repo metadata/suppl_tables/
supp_data,D*_*.assigned_guide.h5ad,"Cell-level count matrices (AnnData) — Per-donor x per-condition single-cell expression + guide assignment (obs=cells, var=genes)",h5ad; CZI virtualcellmodels dataset genome-scale-tcell-perturb-seq
supp_data,GWCD4i.pseudobulk_merged.h5ad,Pseudobulk count matrices (AnnData) — Pseudobulk (perturbation x condition) count matrix with keep_for_DE / keep_test_genes flags,h5ad; CZI virtualcellmodels dataset
supp_data,GWCD4i.DE_stats.h5ad,"Genome-wide differential expression results (AnnData) — Full DE results: obs=perturbation-condition (n=33,983), var=genes (n=10,282); layers log_fc, p_value, adj p, zscore. Underlies DE_stats.suppl_table.csv used by the platform.",h5ad; CZI virtualcellmodels dataset
supp_data,Raw sequencing data / cellranger outputs,Raw reads and alignment outputs — FASTQ + cellranger outputs for the full screen,SRA/GEO accession SRP643211 / GSE314342
